approve_cutoff,decline_cutoff,approved_accounts,review_accounts,declined_accounts,approval_rate,review_rate,decline_rate,historical_approved_bad_rate,historical_review_bad_rate,historical_declined_bad_rate,historical_bad_capture_rate,historical_good_route_out_rate,approved_ead,review_ead,declined_ead,approved_expected_loss_proxy,review_expected_loss_proxy,declined_expected_loss_proxy,approved_el_rate,review_el_rate,declined_el_rate,route_ead_total,route_el_total,route_share_total,frontier_type,threshold,routed_out_accounts,route_out_rate
0.01584619629764012,,4184,0,79480,0.05000956205775483,0.0,0.9499904379422451,0.009560229445506692,,0.1780322093608455,0.9971811134601832,0.9403517862797593,61971825.0,0.0,1145949750.0,504065.42868678673,0.0,139918810.6029961,0.00813378383945909,0.0,0.12209855676742903,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.01584619629764012,,
0.021642692308890363,,8367,0,75297,0.10000717154331612,0.0,0.8999928284566838,0.014103023783912991,,0.18688659574750655,0.9916842847075406,0.881264933644241,122805650.0,0.0,1085115925.0,1264857.172053168,0.0,139158018.85962975,0.01029966595228451,0.0,0.12824253672217534,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.021642692308890363,,
0.027577209946188345,,12550,0,71114,0.1500047810288774,0.0,0.8499952189711226,0.017370517928286852,,0.1964732682734764,0.9846370683579986,0.8224947462360019,179772450.0,0.0,1028149125.0,2200267.2638839586,0.0,138222608.76779896,0.012239179384182385,0.0,0.1344382885778354,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.027577209946188345,,
0.03349045168371278,,16733,0,66931,0.20000239051443872,0.0,0.7999976094855613,0.021394848502958225,,0.20666059075764592,0.9747709654686398,0.7643003137864525,234135125.0,0.0,973786450.0,3309028.103287874,0.0,137113847.92839503,0.014132984545944884,0.0,0.14080484271309693,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.03349045168371278,,
0.0399672145665592,,20916,0,62748,0.25,0.0,0.75,0.025100401606425703,,0.2177758653662268,0.9630021141649049,0.7064945159340185,287988700.0,0.0,919932875.0,4627593.253973028,0.0,135795282.7777099,0.016068662603682116,0.0,0.14761433846758645,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.0399672145665592,,
0.04713356750200813,,25099,0,58565,0.2999976094855613,0.0,0.7000023905144387,0.02904498187178772,,0.22984717834884316,0.9486257928118393,0.6492212914183724,341217075.0,0.0,866704500.0,6172256.197696524,0.0,134250619.83398637,0.01808894293375126,0.0,0.15489779946220006,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.04713356750200813,,
0.05478431640153796,,29283,0,54381,0.3500071715433161,0.0,0.6499928284566838,0.03367141344807568,,0.2428053915889741,0.9305144467935166,0.5926965483490226,394421350.0,0.0,813500225.0,7980078.921511873,0.0,132442797.11017105,0.020232370589248965,0.0,0.16280609769981447,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.05478431640153796,,
0.06360944048234443,,33466,0,50198,0.40000478102887743,0.0,0.5999952189711226,0.03800872527341182,,0.2573409299175266,0.9103594080338266,0.5366036214986901,446711025.0,0.0,761210550.0,10043616.836349614,0.0,130379259.1953333,0.022483476507770574,0.0,0.17127883894322446,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.06360944048234443,,
0.07368980049234702,,37649,0,46015,0.4500023905144387,0.0,0.5499976094855613,0.043082153576456214,,0.273128327719222,0.8856941508104299,0.481431902582261,499599675.0,0.0,708321900.0,12464066.68721328,0.0,127958809.34446964,0.024948108077158537,0.0,0.18065064675322,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.07368980049234702,,
0.08515207601719335,,41832,0,41832,0.5,0.0,0.5,0.04812105565117613,,0.29109294320137696,0.858139534883721,0.42685033249848864,554317650.0,0.0,653603925.0,15360874.193580322,0.0,125062001.8381026,0.02771132074466747,0.0,0.19134218301718828,1207921575.0,140422876.0316829,1.0,SINGLE_CUTOFF,0.08515207601719335,,
