approve_cutoff,decline_cutoff,approved_accounts,review_accounts,declined_accounts,approval_rate,review_rate,decline_rate,historical_approved_bad_rate,historical_review_bad_rate,historical_declined_bad_rate,historical_bad_capture_rate,historical_good_route_out_rate,approved_ead,review_ead,declined_ead,approved_expected_loss_proxy,review_expected_loss_proxy,declined_expected_loss_proxy,approved_el_rate,review_el_rate,declined_el_rate,route_ead_total,route_el_total,route_share_total,frontier_type
0.021642692308890363,0.03349045168371278,8367,8366,66931,0.10000717154331612,0.09999521897112258,0.7999976094855613,0.014103023783912991,0.02868754482428879,0.20666059075764592,0.9916842847075406,0.881264933644241,122805650.0,111329475.0,973786450.0,1264857.172053168,2044170.9312347053,137113847.92839503,0.01029966595228451,0.01836145307641759,0.14080484271309693,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.021642692308890363,0.04713356750200815,8367,16732,58565,0.10000717154331612,0.19999043794224516,0.7000023905144387,0.014103023783912991,0.03651685393258427,0.22984717834884316,0.9916842847075406,0.881264933644241,122805650.0,218411425.0,866704500.0,1264857.172053168,4907399.025643355,134250619.83398637,0.01029966595228451,0.022468600374927067,0.15489779946220006,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.021642692308890363,0.06360944048234443,8367,25099,50198,0.10000717154331612,0.2999976094855613,0.5999952189711226,0.014103023783912991,0.04597792740746643,0.2573409299175266,0.9916842847075406,0.881264933644241,122805650.0,323905375.0,761210550.0,1264857.172053168,8778759.664296445,130379259.1953333,0.01029966595228451,0.027102852690531747,0.17127883894322446,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.021642692308890363,0.08515207601719335,8367,33465,41832,0.10000717154331612,0.3999928284566839,0.5,0.014103023783912991,0.05662632601225161,0.29109294320137696,0.9916842847075406,0.881264933644241,122805650.0,431512000.0,653603925.0,1264857.172053168,14096017.021527153,125062001.8381026,0.01029966595228451,0.03266657015686042,0.19134218301718828,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.021642692308890363,0.11547320448209,8367,41831,33466,0.10000717154331612,0.49998804742780645,0.40000478102887743,0.014103023783912991,0.06602758719609858,0.3379549393414211,0.9916842847075406,0.881264933644241,122805650.0,541670825.0,543445100.0,1264857.172053168,21419794.71279547,117738224.14683427,0.01029966595228451,0.039543932817122776,0.21665155164125,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.021642692308890363,0.16256682009957604,8367,50198,25099,0.10000717154331612,0.5999952189711226,0.2999976094855613,0.014103023783912991,0.08080003187377983,0.39905972349495994,0.9916842847075406,0.881264933644241,122805650.0,659559025.0,425556900.0,1264857.172053168,32228193.172261093,106929825.68736866,0.01029966595228451,0.04886324339548093,0.2512703370274778,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.021642692308890363,0.24170213662124707,8367,58564,16733,0.10000717154331612,0.6999904379422451,0.20000239051443872,0.014103023783912991,0.10004439587459873,0.49082651048825676,0.9916842847075406,0.881264933644241,122805650.0,785642250.0,299473675.0,1264857.172053168,48959136.56326471,90198882.29636504,0.01029966595228451,0.062317341720439186,0.30119135612292147,1207921575.0,140422876.0316829,0.9999999999999999,DUAL_CUTOFF
0.021642692308890363,0.40001016517331023,8367,66930,8367,0.10000717154331612,0.7999856569133678,0.10000717154331612,0.014103023783912991,0.13198864485283132,0.6260308354248835,0.9916842847075406,0.881264933644241,122805650.0,925970475.0,159145450.0,1264857.172053168,78168038.17152697,60989980.68810278,0.01029966595228451,0.08441741964993751,0.38323420926016283,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.03349045168371278,0.04713356750200815,16733,8366,58565,0.20000239051443872,0.09999521897112258,0.7000023905144387,0.021394848502958225,0.04434616304087975,0.22984717834884316,0.9747709654686398,0.7643003137864525,234135125.0,107081950.0,866704500.0,3309028.103287874,2863228.0944086504,134250619.83398637,0.014132984545944884,0.026738662252682645,0.15489779946220006,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
0.03349045168371278,0.06360944048234443,16733,16733,50198,0.20000239051443872,0.20000239051443872,0.5999952189711226,0.021394848502958225,0.05462260204386542,0.2573409299175266,0.9747709654686398,0.7643003137864525,234135125.0,212575900.0,761210550.0,3309028.103287874,6734588.733061739,130379259.1953333,0.014132984545944884,0.03168086661310967,0.17127883894322446,1207921575.0,140422876.0316829,1.0,DUAL_CUTOFF
