issue_year,dimension,segment,accounts,account_share_within_year,loan_amount,exposure_share_within_year,bad_accounts,bad_rate
2007,home_ownership_n,MORTGAGE,206,0.34390651085141904,2056375.0,0.41523845101493756,64,0.3106796116504854
2007,home_ownership_n,OTHER,3,0.005008347245409015,21800.0,0.004402017254696074,1,0.3333333333333333
2007,home_ownership_n,OWN,52,0.08681135225375626,403525.0,0.08148275287620337,14,0.2692307692307692
2007,home_ownership_n,RENT,338,0.5642737896494157,2470575.0,0.498876778854163,79,0.23372781065088757
2007,purpose,car,13,0.021702838063439065,91425.0,0.018461212271127916,3,0.23076923076923078
2007,purpose,credit_card,87,0.14524207011686144,732125.0,0.14783609553185154,12,0.13793103448275862
2007,purpose,debt_consolidation,207,0.34557595993322204,1879325.0,0.37948720537530733,55,0.26570048309178745
2007,purpose,educational,36,0.06010016694490818,221025.0,0.04463100292289907,6,0.16666666666666666
2007,purpose,home_improvement,36,0.06010016694490818,254200.0,0.051329944318520275,13,0.3611111111111111
2007,purpose,house,8,0.01335559265442404,53750.0,0.01085359758898688,2,0.25
2007,purpose,major_purchase,10,0.01669449081803005,90200.0,0.018213851209797516,3,0.3
2007,purpose,medical,9,0.015025041736227046,69950.0,0.014124821420458275,2,0.2222222222222222
2007,purpose,moving,15,0.025041736227045076,67200.0,0.013569521078696155,8,0.5333333333333333
2007,purpose,other,109,0.18196994991652754,531075.0,0.10723859236411548,26,0.23853211009174313
2007,purpose,small_business,56,0.09348914858096828,894675.0,0.1806593939149179,24,0.42857142857142855
2007,purpose,vacation,4,0.00667779632721202,17100.0,0.003452958488775361,1,0.25
2007,purpose,wedding,9,0.015025041736227046,50225.0,0.010141803514546344,3,0.3333333333333333
2008,home_ownership_n,MORTGAGE,931,0.3890513999164229,9437500.0,0.4468671946210211,233,0.2502685284640172
2008,home_ownership_n,OTHER,48,0.020058503969912243,393450.0,0.018629922937604317,7,0.14583333333333334
2008,home_ownership_n,OWN,148,0.06184705390722942,1189050.0,0.05630171525977485,24,0.16216216216216217
2008,home_ownership_n,RENT,1266,0.5290430422064354,10099250.0,0.4782011671815997,232,0.18325434439178515
2008,purpose,car,54,0.022565816966151276,293200.0,0.013883068764279034,13,0.24074074074074073
2008,purpose,credit_card,399,0.16673631424989552,3412875.0,0.16160019887069854,66,0.16541353383458646
2008,purpose,debt_consolidation,976,0.40785624738821563,9383825.0,0.4443256744439315,200,0.20491803278688525
2008,purpose,educational,85,0.0355202674467196,563575.0,0.026685369982362064,26,0.3058823529411765
2008,purpose,home_improvement,140,0.05850396991224405,1277800.0,0.06050404252044935,30,0.21428571428571427
2008,purpose,house,26,0.010865022983702465,267475.0,0.012664985735762397,4,0.15384615384615385
