split_name,window_id,risk_decile,account_count,account_share,ead,ead_share,mean_p_bad
Validation,Validation-2016,1,8367,0.10000717154331612,122805650.0,0.10166690664499473,0.015474285573206783
Validation,Validation-2016,2,8366,0.09999521897112258,111329475.0,0.09216614497509906,0.027593962191716444
Validation,Validation-2016,3,8366,0.09999521897112258,107081950.0,0.08864975360672732,0.04009987130175333
Validation,Validation-2016,4,8367,0.10000717154331612,105493950.0,0.08733509872112351,0.05503570664792803
Validation,Validation-2016,5,8366,0.09999521897112258,107606625.0,0.08908411541535716,0.07392243224186283
Validation,Validation-2016,6,8366,0.09999521897112258,110158825.0,0.09119700093112419,0.09937043543497881
Validation,Validation-2016,7,8367,0.10000717154331612,117888200.0,0.09759590559511283,0.13704762956560587
Validation,Validation-2016,8,8366,0.09999521897112258,126083225.0,0.10438030714038699,0.19821769793939464
Validation,Validation-2016,9,8366,0.09999521897112258,140328225.0,0.11617329129997533,0.3103499932736111
Validation,Validation-2016,10,8367,0.10000717154331612,159145450.0,0.13175147567009887,0.5717276595694204
OOT,OOT-2017,1,4889,0.1105583320142014,62304550.0,0.10144342391979293,0.015327271022874624
OOT,OOT-2017,2,4206,0.09511318152009227,51002750.0,0.08304198632885108,0.027430536675959155
OOT,OOT-2017,3,4165,0.09418602021663916,49840725.0,0.08114999297234024,0.04003570232171256
OOT,OOT-2017,4,4097,0.09264828927432668,47903625.0,0.07799603300513029,0.05503483029269171
OOT,OOT-2017,5,4320,0.09769114221749847,51749850.0,0.08425840442368489,0.0737740743984399
OOT,OOT-2017,6,4390,0.0992741005404672,54952000.0,0.08947210165614648,0.09975118022898093
OOT,OOT-2017,7,4584,0.10366115646412338,62637875.0,0.10198613916736418,0.1375113498830543
OOT,OOT-2017,8,4711,0.10653309513579522,71682925.0,0.11671316699319267,0.1983988827704601
OOT,OOT-2017,9,4707,0.10644264037448271,80503600.0,0.13107487048489141,0.31024794783134013
OOT,OOT-2017,10,4152,0.09389204224237353,81602375.0,0.1328638810486058,0.5618631737782517
