split_name,frequency,window_id,count,mean,median,std,p01,p05,p10,p25,p50,p75,p90,p95,p99,min,max
Validation,annual,Validation,83664,0.15288597241090351,0.08515207601719335,0.16933733649941193,0.009853801102926553,0.01584619629764012,0.021642692308890363,0.0399672145665592,0.08515207601719335,0.19642304411569916,0.40001016517331023,0.5505607921776154,0.756213749651328,0.0045953314702118,0.9380497572668312
OOT,annual,OOT,44221,0.15145175596075333,0.087740795212057,0.16372723244719758,0.009607634315324399,0.0150560104709519,0.0204243104095071,0.0395168009321708,0.087740795212057,0.1994522219697893,0.387568922720147,0.5260339354816594,0.7377297325934834,0.0046268891160607,0.9223821735491508
OOT,quarterly,2017Q1,12280,0.14681384330340394,0.08654723337718426,0.15813547176130088,0.009725014048552071,0.014986663486888355,0.0199442344618409,0.0384140341546341,0.08654723337718426,0.19372723936488015,0.3692658337564201,0.5053730571363525,0.72490965852034,0.0056382931193993,0.9223821735491508
OOT,quarterly,2017Q2,11548,0.1495475760907667,0.08888213132073006,0.15915555807185988,0.009400413981015017,0.015100602105170044,0.020742159185248653,0.04070885230455855,0.08888213132073006,0.19719991841470041,0.3752841160809073,0.5100639426487993,0.7241763486761316,0.0052293701110915,0.908209596555304
OOT,quarterly,2017Q3,11480,0.16084460343957524,0.09193526502214365,0.17314964544039108,0.009778583686658479,0.015409915058927266,0.02110979479413579,0.0415359981626902,0.09193526502214365,0.21408091593146805,0.42153746400157416,0.5578772420572852,0.7483108100493598,0.0052313462108048,0.9180579541601068
OOT,quarterly,2017Q4,8913,0.14821077621364015,0.083324527731695,0.1641979225523501,0.009579912291239875,0.0146549660760224,0.02005604971481032,0.0371556785358669,0.083324527731695,0.1930899313371638,0.3834469037451159,0.5297762247848393,0.7398120309000342,0.0046268891160607,0.8983092503364392
OOT,monthly,2017-01,4267,0.14796295552018657,0.0876506779274157,0.15819990357391125,0.009944291906623902,0.01546758103660468,0.02091794797728188,0.0405559138154023,0.0876506779274157,0.1931694010974662,0.36939362378743296,0.5093214827509447,0.7313261034607829,0.0057996561476094,0.8801420647944754
OOT,monthly,2017-02,3516,0.1464667100544557,0.08788485337116031,0.15713054973557233,0.01006888598611347,0.015072581391523026,0.019756728953465447,0.03827048629813855,0.08788485337116031,0.1927657643060624,0.36843768040094027,0.4965603892587175,0.7241174467444583,0.0056382931193993,0.907702598927384
OOT,monthly,2017-03,4497,0.1459949103868575,0.0836023551596451,0.1588844985764907,0.009070384118615916,0.014326167934214882,0.01930929330437664,0.0373420770255924,0.0836023551596451,0.1946524904282395,0.36928910731354203,0.5128495310672495,0.7154114248253397,0.0057395902170802,0.9223821735491508
OOT,monthly,2017-04,3296,0.14679080193494012,0.08777205593960165,0.1571625412254419,0.009651448987878465,0.0143473923122791,0.01966629901199545,0.03933215804781583,0.08777205593960165,0.1959098162941309,0.3693416547256464,0.49493571035953143,0.7271395773729954,0.0052293701110915,0.908209596555304
OOT,monthly,2017-05,4319,0.15194427020258225,0.0916255847684751,0.15855994577818805,0.00920680017393011,0.01582193326395368,0.02199439578861946,0.041945859618498754,0.0916255847684751,0.20095582306530935,0.37714665925993723,0.5093174319532618,0.7140524635427409,0.0054474834941082,0.876363183908479
OOT,monthly,2017-06,3933,0.14922594012551696,0.0863050538846587,0.1614518510740348,0.00953135411975591,0.015362986964959061,0.02054984848218306,0.0403904447681727,0.0863050538846587,0.1947814415503742,0.37633668742790755,0.5300580193355635,0.7457653353458619,0.0054957378994742,0.8731647182332402
OOT,monthly,2017-07,3963,0.16126476766835313,0.0908517966294183,0.1749927050388703,0.009445399061012149,0.01473578876765997,0.020371384558436678,0.0407112956799298,0.0908517966294183,0.21402027996420495,0.42516892412736884,0.56633445322915,0.7555630890744357,0.0052313462108048,0.9180579541601068
OOT,monthly,2017-08,4026,0.1493860777473682,0.08794805589978044,0.1593833050613997,0.0097856789498136,0.0153405544031409,0.0210896523710611,0.04141365364073067,0.08794805589978044,0.19401796290026538,0.3798687539509261,0.5030098885444618,0.7318708261223015,0.0061671804090772,0.9064749757033442
OOT,monthly,2017-09,3491,0.17358218968941158,0.099200659700147,0.1850273210069058,0.01018330955389819,0.0164061159475428,0.0218019027661055,0.0426396447609399,0.099200659700147,0.23670473973812114,0.4673248098103882,0.6158287781937886,0.7631896533720189,0.0062996494972028,0.8878079515363908
OOT,monthly,2017-10,3115,0.15274417797953577,0.0843036000358816,0.1683310493550997,0.01024342249124133,0.01545350674315865,0.02142390108303628,0.03912211386400085,0.0843036000358816,0.2037385438252003,0.40010499727008514,0.5369781016022166,0.7403924825633448,0.0054697583665458,0.8885808944216473
OOT,monthly,2017-11,3152,0.14250808259378664,0.07975820294942981,0.15972031016706043,0.009358913949324954,0.014302811253744675,0.019456880155989554,0.035548378494906975,0.07975820294942981,0.1823070466213716,0.3653834626105393,0.5139248938430787,0.7274109246063426,0.0046268891160607,0.8983092503364392
OOT,monthly,2017-12,2646,0.14966706638333532,0.08481590345496584,0.16439593837963032,0.009490074757444305,0.014234343658979676,0.0195991842815884,0.0364904425195262,0.08481590345496584,0.19944427126033454,0.37923006910567303,0.5387967471395427,0.7462011618966432,0.0065193514594024,0.8741954285468615
