risk_band,reference_count,reference_account_share,reference_ead,reference_ead_share,monitor_count,monitor_account_share,monitor_ead,monitor_ead_share,change_vs_reference_pp
R1 VERY_LOW,16732,0.19999043794224516,234115125.0,0.19381649425377637,9095,0.20567151353429367,113307300.0,0.184485410248644,0.5681075592048501
R2 LOW,16733,0.20000239051443872,212563900.0,0.17597491790806039,8262,0.18683430949096583,97744350.0,0.15914602597747055,-1.3168081023472888
R3 MEDIUM,16733,0.20000239051443872,217797450.0,0.18030760813258923,8710,0.19696524275796568,106701850.0,0.17373050607983137,-0.3037147756473041
R4 HIGH,16733,0.20000239051443872,243971425.0,0.20197621273549982,9295,0.21019425159991859,134320800.0,0.21869930616055686,1.019186108547987
R5 VERY_HIGH,16733,0.20000239051443872,299473675.0,0.2479247669700742,8859,0.20033468261685625,162105975.0,0.2639387515334972,0.03322921024175307
