alert_id,source_stage,metric_id,policy,window_id,frequency,metric_value,reference_value,over_capacity_pp,severity,threshold_id,threshold_version,population_scope,root_cause_domain,recommended_action
E7A-001,E7,REVIEW_CAPACITY_OVER_PP_GROWTH,GROWTH,OOT-2017,portfolio_simulation,0.3879439972457252,0.0,0.3879439972457252,AMBER,E0-THR-CAPACITY,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,POLICY_CAPACITY,POLICY_REVIEW
E7A-002,E7,REVIEW_CAPACITY_OVER_PP_BALANCED,BALANCED,OOT-2017,portfolio_simulation,0.0273756021298463,0.0,0.0273756021298463,AMBER,E0-THR-CAPACITY,E0-1.0.1,LANE_A_C8E_MATCHED_SCORED,POLICY_CAPACITY,WATCH
