window_id,dimension,category,share,reference_share,shift_pp,jsd
2016-01,purpose,car,0.01072814425930153,0.011510327022375215,-0.07821827630736852,0.002231541921301244
2016-01,purpose,credit_card,0.26238301757589594,0.2133295085102314,4.9053509065664525,0.002231541921301244
2016-01,purpose,debt_consolidation,0.5571787263181922,0.5690380569898642,-1.1859330671671997,0.002231541921301244
2016-01,purpose,home_improvement,0.06003195617438941,0.07349636641805317,-1.3464410243663758,0.002231541921301244
2016-01,purpose,house,0.0038803926044282126,0.0048407917383821,-0.09603991339538873,0.002231541921301244
2016-01,purpose,major_purchase,0.01974435060488473,0.025088449034232168,-0.5344098429347438,0.002231541921301244
2016-01,purpose,medical,0.011070531842045195,0.012024287626697265,-0.09537557846520696,0.002231541921301244
2016-01,purpose,moving,0.005934718100890208,0.007398642187798814,-0.14639240869086062,0.002231541921301244
2016-01,purpose,other,0.052955946131020316,0.06467536813922356,-1.1719422008203244,0.002231541921301244
2016-01,purpose,renewable_energy,0.0005706459712394431,0.0006693440428380187,-0.009869807159857562,0.002231541921301244
2016-01,purpose,small_business,0.009586852316822643,0.010386785236182826,-0.07999329193601831,0.002231541921301244
2016-01,purpose,vacation,0.005934718100890208,0.007542073054121247,-0.16073549532310394,0.002231541921301244
2016-01,home_ownership,MORTGAGE,0.5036521342159325,0.4977409638554217,0.5911170360510754,0.00010846291057111301
2016-01,home_ownership,OTHER,0.0,0.00015538343851596864,-0.015538343851596864,0.00010846291057111301
2016-01,home_ownership,OWN,0.12485733850719014,0.12099588831516542,0.3861450192024718,0.00010846291057111301
2016-01,home_ownership,RENT,0.3714905272768774,0.38110776439089694,-0.9617237114019517,0.00010846291057111301
2016-01,term, 36 months,0.8116868294909838,0.8094520940906483,0.22347354003354747,4.065594563299347e-06
2016-01,term, 60 months,0.18831317050901622,0.1905479059093517,-0.22347354003354747,4.065594563299347e-06
2016-01,application_type,Individual,0.9890435973522027,0.9814735131000192,0.7570084252183529,0.0004986831192973719
2016-01,application_type,Joint App,0.010956402647797306,0.018526486899980876,-0.7570084252183571,0.0004986831192973719
2016-02,purpose,car,0.00988049308365484,0.011510327022375215,-0.16298339387203747,0.0016059097566178955
2016-02,purpose,credit_card,0.25341112261221416,0.2133295085102314,4.008161410198275,0.0016059097566178955
2016-02,purpose,debt_consolidation,0.5594241084031241,0.5690380569898642,-0.961394858674014,0.0016059097566178955
2016-02,purpose,home_improvement,0.06464665474734167,0.07349636641805317,-0.8849711670711496,0.0016059097566178955
2016-02,purpose,house,0.0037639973652018443,0.0048407917383821,-0.10767943731802557,0.0016059097566178955
2016-02,purpose,major_purchase,0.023054483861861298,0.025088449034232168,-0.20339651723708696,0.0016059097566178955
2016-02,purpose,medical,0.01063329255669521,0.012024287626697265,-0.1390995070002055,0.0016059097566178955
2016-02,purpose,moving,0.005363696245412628,0.007398642187798814,-0.20349459423861863,0.0016059097566178955
2016-02,purpose,other,0.0532605627176061,0.06467536813922356,-1.1414805421617462,0.0016059097566178955
2016-02,purpose,renewable_energy,0.000846899407170415,0.0006693440428380187,0.01775553643323963,0.0016059097566178955
2016-02,purpose,small_business,0.010539192622565164,0.010386785236182826,0.015240738638233782,0.0016059097566178955
2016-02,purpose,vacation,0.005175496377152536,0.007542073054121247,-0.23665766769687116,0.0016059097566178955
2016-02,home_ownership,MORTGAGE,0.49647125247012325,0.4977409638554217,-0.12697113852984665,5.4906933122337014e-05
2016-02,home_ownership,OTHER,0.0,0.00015538343851596864,-0.015538343851596864,5.4906933122337014e-05
2016-02,home_ownership,OWN,0.1210125152912393,0.12099588831516542,0.0016626976073880195,5.4906933122337014e-05
2016-02,home_ownership,RENT,0.38251623223863745,0.38110776439089694,0.14084678477405133,5.4906933122337014e-05
