window_id,account_count,mean_ead,median_ead,total_ead,total_ead_12m,total_ead_24m
Validation-2016,83664,14437.769829317269,12000.0,1207921575.0,901842911.962179,556289239.3176211
OOT-2017,44221,13888.882544492435,11875.0,614180275.0,463519560.6523821,292382216.6359474
