dimension,segment,account_count,ead,expected_loss
issue_year,2016,83664,1207921575.0,140422876.0316829
issue_year,2017,44221,614180275.0,73649604.46100768
issue_quarter,2016Q1,34297,514442400.0,56639759.564009435
issue_quarter,2016Q2,18736,272120825.0,31649255.379652027
issue_quarter,2016Q3,15646,216554100.0,27290932.44802145
issue_quarter,2016Q4,14985,204804250.0,24842928.64
issue_quarter,2017Q1,12280,174679700.0,19783430.983859915
issue_quarter,2017Q2,11548,159487400.0,18777808.023823984
issue_quarter,2017Q3,11480,156006425.0,20233150.353524163
issue_quarter,2017Q4,8913,124006750.0,14855215.099799618
risk_decile,1,13256,185110200.0,1903592.8814813402
risk_decile,2,12572,162332225.0,2977852.4555913312
risk_decile,3,12531,156922675.0,4194689.4324281
risk_decile,4,12464,153397575.0,5630147.627105681
risk_decile,5,12686,159356475.0,7863682.300015967
risk_decile,6,12756,165110825.0,10995238.295478322
risk_decile,7,12951,180526075.0,16570704.143632337
risk_decile,8,13077,197766150.0,26261113.702719092
risk_decile,9,13073,220831825.0,45949770.64563312
risk_decile,10,12519,240747825.0,91725689.0086053
term, 36 months,102626,1300000250.0,94671093.96358147
term, 60 months,25259,522101600.0,119401386.52910914
purpose,car,1566,14180525.0,1409979.4131136453
purpose,credit_card,26527,384480650.0,36282162.36197856
purpose,debt_consolidation,72063,1100501675.0,138970486.0619707
purpose,home_improvement,9817,137993400.0,13866442.835404541
purpose,house,735,10925650.0,1663432.774038418
purpose,major_purchase,3229,38535225.0,4807260.725501632
purpose,medical,1728,15297925.0,1701702.0264992928
purpose,moving,1015,7643300.0,864800.8192643789
purpose,other,8676,83361150.0,10387549.514836207
purpose,renewable_energy,96,1004425.0,132872.51238976093
purpose,small_business,1310,21001100.0,3239833.7972078607
purpose,vacation,1123,7176825.0,745957.6504855677
