dimension,segment,account_count,account_share,ead,expected_loss,ead_share,hhi_component
purpose,car,3138,0.010120425973824928,28901200.0,3047658.132128091,0.006466810467791995,4.181963762634412e-05
purpose,credit_card,70483,0.22731611979385033,1050869225.0,96047394.49876066,0.23513806016741384,0.055289907339294335
purpose,debt_consolidation,179630,0.5793282720453065,2724342625.0,345664875.998713,0.6095874013951642,0.37159679993970907
purpose,educational,1,3.2251198132010602e-06,2200.0,115.76944415450448,4.922627098232042e-07,2.4232257548248414e-13
purpose,home_improvement,20640,0.06656647294446989,291336850.0,31749837.08055741,0.06518830329652563,0.004249514886679814
purpose,house,1345,0.004337786148755426,19337300.0,3188589.1584717603,0.00432683259030193,1.8721480264498908e-05
purpose,major_purchase,6515,0.02101165558300491,78232050.0,9910574.869402602,0.017504873149102,0.00030642058396615214
purpose,medical,3544,0.011429824617984558,31547425.0,3844165.995141129,0.007058918599292863,4.9828331791442714e-05
purpose,moving,2142,0.006908206639876672,16451025.0,2141014.7216855353,0.0036810118844860353,1.3549848493727433e-05
purpose,other,17268,0.05569136893435591,165942350.0,21716948.272385236,0.03713055949337754,0.0013786784482912491
purpose,renewable_energy,191,0.0006159978843214025,1939025.0,309051.6465364342,0.0004338680458704266,1.882414812274226e-07
purpose,small_business,2982,0.009617307282965563,46550475.0,7664702.973722277,0.010415937712298783,0.000108491758426488
purpose,vacation,2180,0.0070307611927783115,13634450.0,1458036.3479527226,0.0030507869563404484,9.307301052977018e-06
purpose,wedding,7,2.2575838692407424e-05,72150.0,9308.202976110384,1.6143979324429173e-05,2.606280684275966e-10
home_ownership_n,MORTGAGE,154841,0.4993807769958654,2473293550.0,242550637.89726213,0.5534137205051148,0.3062667460433134
home_ownership_n,OTHER,71,0.00022898350673727528,1122100.0,101934.25877867207,0.00025107635758755335,6.303933733943296e-08
home_ownership_n,OWN,34621,0.11165687305283391,479416225.0,58319063.17935299,0.10727215002350499,0.011507314170665361
home_ownership_n,RENT,120533,0.3887333664445634,1515326475.0,225780638.33248335,0.33906305311379265,0.11496375398684658
term, 36 months,241312,0.7782601123631743,3066670225.0,206663361.0100678,0.6861851795875615,0.47085010068561406
term, 60 months,68754,0.2217398876368257,1402488125.0,320088912.6578094,0.3138148204124385,0.09847974151049105
