risk_decile,account_count,mean_int_rate,median_int_rate,pricing_coverage,rate_minus_el_diagnostic_spread
1,31035,6.923217335266634,6.97,1.0,5.891682756861963
2,29796,8.312697341925091,7.99,1.0,6.479288511048566
3,29394,9.588181261481935,9.49,1.0,6.912296655155136
4,29329,10.705660608953595,10.99,1.0,7.030548471556472
5,30064,11.690699507716872,11.53,1.0,6.762585275007362
6,31090,12.73213348343519,12.69,1.0,6.090211819827802
7,32694,13.919298648069981,13.67,1.0,4.758319962172534
8,32989,15.3469520143078,14.99,1.0,2.116573881860365
9,32208,17.23196348733234,16.99,1.0,-3.428824631698916
10,31467,20.114652493088,19.24,1.0,-18.020765864415527
