policy,window_id,route,account_count,account_share,ead,expected_loss,el_rate
GROWTH,ALL,APPROVE,246391,0.7946404958944224,3334998225.0,188346305.90663934,0.056475684003291886
GROWTH,ALL,REVIEW,32208,0.10387465894357975,544786975.0,113141044.96718128,0.20767942362642072
GROWTH,ALL,DECLINE,31467,0.10148484516199777,589373150.0,225264922.79405653,0.38221103691957553
BALANCED,ALL,APPROVE,149618,0.4825359762115163,1985901150.0,54377884.48645988,0.027381969382745903
BALANCED,ALL,REVIEW,31090,0.10026897499242096,404469525.0,26911184.232043732,0.06653451636941926
BALANCED,ALL,DECLINE,129358,0.4171950487960628,2078787675.0,445463204.94937354,0.21428990093919695
CONSERVATIVE,ALL,APPROVE,31035,0.10009159340269491,458507800.0,4710620.867090937,0.010273807483953243
CONSERVATIVE,ALL,REVIEW,29796,0.09609566995413879,403488350.0,7375070.645590287,0.018278274070590357
CONSERVATIVE,ALL,DECLINE,249235,0.8038127366431663,3607162200.0,514666582.15519595,0.14267907945897082
