dimension,segment,accounts,good_accounts,bad_accounts,account_share,loan_amount,exposure_share
addr_state,CA,196805,158172,38633,0.14603233257721968,2886747675.0,0.14866579984835201
addr_state,TX,110307,88426,21881,0.08184948812070512,1674091450.0,0.08621472066606493
addr_state,NY,110075,85808,24267,0.08167734055759486,1573354275.0,0.08102681566642259
addr_state,FL,95815,75216,20599,0.07109620154917967,1314572825.0,0.06769972387265634
addr_state,IL,51858,42464,9394,0.038479432447292794,762927425.0,0.039290311670163065
addr_state,NJ,48576,38318,10258,0.03604413804156918,736348875.0,0.03792153204706718
addr_state,PA,45640,36138,9502,0.0338655809497945,640051250.0,0.032962261249656157
addr_state,OH,43935,34920,9015,0.032600444764005726,600586475.0,0.03092984865190106
addr_state,GA,43470,35459,8011,0.03225540762242697,633945675.0,0.03264782774416833
addr_state,VA,38107,30505,7602,0.028275979256218647,583149550.0,0.030031857315675
addr_state,NC,37812,29951,7861,0.02805708472553965,536287125.0,0.02761847011325579
addr_state,MI,35302,28133,7169,0.0261946261763726,486736100.0,0.025066621599190323
addr_state,AZ,32733,26301,6432,0.02428838872106975,454925125.0,0.023428375179772688
addr_state,MD,31295,24618,6677,0.023221370635929422,473138575.0,0.024366357094748325
addr_state,MA,31066,25140,5926,0.02305144911889386,474664225.0,0.02444492716843467
addr_state,CO,29722,25104,4618,0.02205418047742752,434949225.0,0.02239962813100588
addr_state,WA,29218,24605,4613,0.021680204736877644,431431450.0,0.022218464796714278
addr_state,MN,24001,19259,4742,0.017809110612971468,335233100.0,0.017264306603154214
addr_state,IN,21720,17064,4656,0.016116573580839975,304688975.0,0.015691302210315117
addr_state,MO,21328,16777,4551,0.015825703560412293,295763525.0,0.015231646808234826
addr_state,TN,20393,16025,4368,0.015131919200463612,288234175.0,0.014843889731375593
addr_state,NV,20282,15825,4457,0.01504955549569965,279088250.0,0.014372879997046097
addr_state,CT,19787,16347,3440,0.014682257893373877,288305050.0,0.014847539752004518
addr_state,WI,17782,14515,3267,0.013194517100114938,244580150.0,0.012595733233518551
addr_state,AL,16640,12707,3933,0.012347135561011842,232062625.0,0.01195108809104113
addr_state,OR,16415,14049,2366,0.012180182105409217,222096500.0,0.011437838541264093
addr_state,SC,16004,13398,2606,0.01187521379317509,226860350.0,0.011683174001907557
addr_state,LA,15520,11924,3596,0.011516078359789891,221115275.0,0.01138730603344586
addr_state,KY,12868,10165,2703,0.009548253629753629,175609500.0,0.009043785504553727
addr_state,OK,12291,9407,2884,0.009120110768052678,175137850.0,0.009019495808192068
addr_state,KS,11262,9375,1887,0.008356576964430009,158090050.0,0.008141544179581251
addr_state,AR,10058,7633,2425,0.007463190473116413,135723425.0,0.00698967620569152
addr_state,UT,10045,8328,1717,0.007453544273459372,146295875.0,0.007534151134767788
addr_state,NM,7374,5798,1576,0.005471621251616666,105021550.0,0.00540854778104695
addr_state,HI,6763,5396,1367,0.005018249867735762,102588275.0,0.00528323555606144
addr_state,MS,6593,4871,1722,0.004892107256836002,92173700.0,0.004746891096216798
addr_state,NH,6463,5521,942,0.004795645260265597,92548950.0,0.004766216249529027
addr_state,RI,5879,4828,1051,0.004362308291057008,80032450.0,0.004121623893946062
addr_state,WV,4888,4129,759,0.0036269710710472285,68878050.0,0.003547178883670455
addr_state,MT,3831,3181,650,0.0028426608373940125,51293700.0,0.0026415952470391834
addr_state,DE,3804,3054,750,0.0028226264227216974,53836725.0,0.0027725595321872977
addr_state,NE,3591,2686,905,0.00266457715141788,47921625.0,0.002467935376671874
addr_state,DC,3485,3024,461,0.0025859235234450884,52769700.0,0.002717608375057436
addr_state,AK,3194,2566,628,0.0023699970541990276,52592300.0,0.002708472379860662
addr_state,WY,2926,2436,490,0.002171136938192347,43946000.0,0.002263193037865936
addr_state,SD,2770,2179,591,0.0020553825423078606,37409800.0,0.0019265825992799592
addr_state,VT,2655,2284,371,0.001970050776110964,35215925.0,0.001813599332863263
addr_state,ME,2029,1748,281,0.0015055491618565522,28299475.0,0.0014574062439189257
addr_state,ID,1689,1371,318,0.0012532639400570313,22928600.0,0.0011808093543897715
addr_state,ND,1601,1273,328,0.0011879665885324495,23335600.0,0.00120176961394494
addr_state,IA,14,11,3,1.0388215015274387e-05,114075.0,5.874795107508229e-06
emp_length,10+ years,442667,359454,83213,0.328465712583319,6914420025.0,0.35608854643109294
emp_length,2 years,122091,97894,24197,0.09059339710213322,1678195875.0,0.08642609612877923
emp_length,< 1 year,108517,86228,22289,0.08052128062946647,1494272050.0,0.07695412779860873
