dimension,segment,accounts,good_accounts,bad_accounts,account_share,loan_amount,exposure_share
emp_length,3 years,107862,86304,21558,0.08003526056982327,1495181475.0,0.07700096264884451
emp_length,1 year,88841,70552,18289,0.06592138644085656,1195051525.0,0.06154444753267804
emp_length,5 years,84326,67781,16545,0.06257118709843057,1192750625.0,0.06142595254198889
emp_length,4 years,80761,64805,15956,0.05992590234632676,1130956625.0,0.05824359804824913
emp_length,NI,78188,57111,21077,0.05801669682959098,896627375.0,0.046175780108770076
emp_length,6 years,62877,50694,12183,0.046655699679671966,900680350.0,0.04638450592687968
emp_length,8 years,60808,48676,12132,0.04512046990348606,894778825.0,0.046080580875844504
emp_length,7 years,59724,48072,11652,0.04431612525516053,868369450.0,0.04472051366530451
emp_length,9 years,51019,40861,10158,0.037856881561734564,756414275.0,0.038954888292959754
experience_c,1,1347656,1078410,269246,0.9999814496160442,19417610475.0,0.999995468051988
experience_c,0,25,22,3,1.8550383955847117e-05,88000.0,4.531948011928329e-06
home_ownership_n,MORTGAGE,666594,551759,114835,0.49462298570655816,10642135750.0,0.5480637040327716
home_ownership_n,RENT,535585,411177,124408,0.39741229563969516,6762017450.0,0.34823990385400194
home_ownership_n,OWN,144985,115081,29904,0.10758109671353977,2006933850.0,0.10335590763158145
home_ownership_n,OTHER,517,415,102,0.0003836219402069184,6611425.0,0.00034048448164503695
purpose,debt_consolidation,781206,615948,165258,0.5796668499444602,11893122000.0,0.612488756858194
purpose,credit_card,295551,245511,50040,0.21930338114138287,4375482650.0,0.22533477155561815
purpose,home_improvement,87684,72114,15570,0.06506287467137994,1239111700.0,0.06381352051559241
purpose,other,78263,61762,16501,0.05807234798145852,767930650.0,0.03954797480189011
purpose,major_purchase,29543,24047,5496,0.021921359728303655,349124950.0,0.017979728671216787
purpose,medical,15606,12197,3409,0.011579891680598005,140297975.0,0.007225262828168414
purpose,small_business,15575,10925,4650,0.011556889204492755,243466000.0,0.012538355166728894
purpose,car,14647,12494,2153,0.01086829895205171,129434075.0,0.006665778396273094
purpose,moving,9520,7291,2229,0.007063986210386583,74760275.0,0.003850109996107559
purpose,vacation,9083,7340,1743,0.006739725498838375,56215325.0,0.002895056026973351
purpose,house,7294,5696,1598,0.005412260022957955,111995475.0,0.005767700798536579
purpose,wedding,2350,2058,292,0.001743736091849629,24594750.0,0.001266615095072435
purpose,renewable_energy,936,714,222,0.0006945263753069161,9364050.0,0.0004822430429670167
purpose,educational,423,335,88,0.00031387249653293324,2798600.0,0.00014412624666116616
