feature,type,psi_val2016_to_oot2017,psi_band,jsd,validation_missing_rate,oot_missing_rate,missingness_shift_pp,missingness_band,importance,importance_norm,normalized_drift,drift_materiality_score
int_rate,numeric,0.10064634291884063,AMBER,0.012164874868246302,0.0,0.0,0.0,GREEN,15.411735355916328,1.0,0.4025853716753625,0.4025853716753625
installment_to_loan,numeric,0.1369616922246136,AMBER,0.016681939447826834,0.0,0.0,0.0,GREEN,4.435045037979191,0.2877706459108543,0.5478467688984544,0.15765421854608275
loan_to_income,numeric,0.030620578997507877,GREEN,0.0038160478171801616,0.0,0.0,0.0,GREEN,2.458872806972682,0.15954548596818194,0.12248231599003151,0.019541500627137998
installment_to_income,numeric,0.03173660207220166,GREEN,0.003956434083320513,0.0,0.0,0.0,GREEN,2.276459265740583,0.1477094702944458,0.12694640828880663,0.01875118672412207
fico_n,numeric,0.025455000613314443,GREEN,0.003171671817370979,0.0,0.0,0.0,GREEN,2.249935366768573,0.14598845067144614,0.10182000245325777,0.014864544405513947
revol_bal_to_income,numeric,0.023764004474942348,GREEN,0.00296296075264849,0.0,0.0,0.0,GREEN,1.976390925822169,0.12823935009132265,0.09505601789976939,0.012189921957735559
fico_source_midpoint,numeric,0.025455000613314443,GREEN,0.003171671817370979,0.0,0.0,0.0,GREEN,1.7192542486839908,0.11155487743461645,0.10182000245325777,0.011358517894065516
bc_util,numeric,0.04004802784957406,GREEN,0.004989712697727914,0.01161790017211704,0.013522986816218538,0.1905086644101498,GREEN,0.8188137773410861,0.05312923940306022,0.16019211139829623,0.008510885036961771
bc_open_to_buy,numeric,0.029232831285049755,GREEN,0.003644551128232727,0.011187607573149742,0.01309332669998417,0.19057191268344287,GREEN,1.0465460377168356,0.06790578825473295,0.11693132514019902,0.007940313805315687
dti_x_revol_util,numeric,0.029636292960756348,GREEN,0.0036931713200705164,0.0,0.0,0.0,GREEN,0.9735276063929688,0.06316794208507133,0.11854517184302539,0.007488254549445056
revol_util,numeric,0.03684909902276612,GREEN,0.004587909725496237,0.0,0.0,0.0,GREEN,0.7277013037919458,0.04721735008981921,0.14739639609106447,0.006959667236209451
term,categorical,0.0025319396483397517,GREEN,0.0003163849899340005,0.0,0.0,0.0,GREEN,9.433118641079298,0.6120737492068387,0.010127758593359007,0.006198935173299025
installment,numeric,0.017549372217907366,GREEN,0.0021881827377694804,0.0,0.0,0.0,GREEN,1.336279417680384,0.0867053181760876,0.07019748887162947,0.006086495607777001
loan_amnt,numeric,0.020718925169271096,GREEN,0.002582197246894297,0.0,0.0,0.0,GREEN,1.088861172391981,0.0706514319929575,0.08287570067708439,0.005855286930255729
bc_available_ratio,numeric,0.03947249447446341,GREEN,0.004918111673041651,0.011259323006310959,0.013161167770968544,0.19018447646575853,GREEN,0.539365234121616,0.034997047487878255,0.15788997789785364,0.005525683054351232
percent_bc_gt_75,numeric,0.03177885418860201,GREEN,0.003964844325473565,0.011259323006310959,0.013161167770968544,0.19018447646575853,GREEN,0.6482964724205278,0.04206511839509733,0.12711541675440804,0.005347125055616313
dti_n,numeric,0.004710923637409741,GREEN,0.0005885201952348026,0.0,0.0,0.0,GREEN,3.6921452849478253,0.2395671350228881,0.018843694549638964,0.004514329916503418
log_loan_amnt,numeric,0.020718925169271096,GREEN,0.002582197246894297,0.0,0.0,0.0,GREEN,0.8346107415190304,0.05415423521392328,0.08287570067708439,0.0044880701879855284
total_bc_limit,numeric,0.007190781969398227,GREEN,0.0008984026250128019,0.0,0.0,0.0,GREEN,2.1419566707621955,0.13898218606121673,0.028763127877592908,0.003997562390386187
num_actv_rev_tl,numeric,0.011759144351723018,GREEN,0.0014681851271065682,0.0,0.0,0.0,GREEN,1.3091428366715223,0.08494454429941678,0.04703657740689207,0.00399550063323269
fico_x_revol_util,numeric,0.03535769303837882,GREEN,0.004402618500374047,0.0,0.0,0.0,GREEN,0.4189601670994505,0.027184490093039273,0.14143077215351527,0.0038447234244581305
emp_length,categorical,0.008459678056889266,GREEN,0.001053000997287209,0.0,0.0,0.0,GREEN,1.7281310880265388,0.11213085665678368,0.03383871222755706,0.0037943637902383546
verification_status,categorical,0.020321226024365407,GREEN,0.002536869993661081,0.0,0.0,0.0,GREEN,0.6984573774526776,0.04531983980535654,0.08128490409746163,0.0036838188322907304
mo_sin_old_rev_tl_op,numeric,0.0063481577104261685,GREEN,0.0007930222469398574,0.0,0.0,0.0,GREEN,2.180059414258955,0.14145450618719999,0.025392630841704674,0.0035919020565071988
nonmort_balance_to_income,numeric,0.013630661370536729,GREEN,0.001701292587340946,0.0,0.0,0.0,GREEN,1.0039394043693608,0.06514123044449786,0.054522645482146914,0.0035516722137961926
avg_cur_bal,numeric,0.007793329553654603,GREEN,0.0009735776544893878,0.0,0.0,0.0,GREEN,1.560160573948827,0.10123198575103388,0.031173318214618412,0.003155736905314696
home_ownership_n,categorical,0.004560800636451044,GREEN,0.0005223545941763475,0.0,0.0,0.0,GREEN,2.4781881117757854,0.16079877149100197,0.018243202545804176,0.002933484557426831
revol_bal_per_open_acc,numeric,0.006761881249266209,GREEN,0.0008445336041278556,0.0,0.0,0.0,GREEN,1.6234435758600874,0.10533814254972088,0.027047524997064837,0.0028491360437579547
revenue,numeric,0.007831886408047491,GREEN,0.0009781389276134582,0.0,0.0,0.0,GREEN,1.3473576522844954,0.0874241362941173,0.031327545632189965,0.0027387836191087546
log_revenue,numeric,0.007831886408047491,GREEN,0.0009781389276134582,0.0,0.0,0.0,GREEN,1.0862390524480412,0.0704812941153347,0.031327545632189965,0.00220800595761395
revol_bal,numeric,0.010034631099614234,GREEN,0.0012526911504543033,0.0,0.0,0.0,GREEN,0.7529630350226608,0.04885647317669583,0.040138524398456936,0.0019610267406253625
purpose,categorical,0.00883429084459993,GREEN,0.0011010697746056401,0.0,0.0,0.0,GREEN,0.5841342357795327,0.03790191190606531,0.03533716337839972,0.0013393460533783434
total_balance_to_income,numeric,0.00582957765335684,GREEN,0.0007281355476103822,0.0,0.0,0.0,GREEN,0.8034946929438033,0.05213525111793164,0.02331831061342736,0.001215705979476966
