window_id,frequency,account_count,bad_count,mean_prediction,observed_bad_rate,calibration_gap,intercept,slope,brier,logloss
Validation,annual,83664,14190,0.1528836891421002,0.16960699942627652,-0.016723310284176313,0.2161011014244145,1.040421249026515,0.10726820291754496,0.35024972532540705
2016Q1,quarterly,34297,5857,0.1481534214509931,0.1707729539026737,-0.02261953245168058,0.21169126155875462,0.99398123225938,0.11003265148715217,0.3558654003248909
2016Q2,quarterly,18736,3866,0.15525473597931946,0.2063407344150299,-0.051085998435710434,0.30276889807103413,0.9027755182699766,0.13394111415834872,0.4252296445900533
2016Q3,quarterly,15646,2366,0.15957550823031766,0.15122075929950146,0.008354748930816197,0.24983940277126732,1.270089828919389,0.08946449538974256,0.30221438480008056
2016Q4,quarterly,14985,2101,0.1537585544077332,0.14020687354020686,0.013551680867526339,0.16722278477735314,1.244924944113141,0.08618050524523788,0.2938023689730248
2016-01,monthly,8762,1384,0.14088546243635325,0.15795480483907784,-0.01706934240272459,0.2294871879048249,1.0359685562832397,0.09968630029682601,0.3300522576395484
2016-02,monthly,10627,1709,0.1445365279302662,0.1608167874282488,-0.01628025949798259,0.18816911975130102,1.0178808343674925,0.1041210554661865,0.3403418236405757
2016-03,monthly,14908,2764,0.1550033399062547,0.1854038100348806,-0.0304004701286259,0.21410497335233353,0.9528616692145297,0.12032761124328582,0.3821025753740718
2016-04,monthly,7205,1513,0.15509218240128142,0.20999306037473978,-0.054900877973458356,0.3832875011638721,0.9372012450518787,0.13447974465055115,0.42576445907078925
2016-05,monthly,5344,1150,0.1572932347957061,0.21519461077844312,-0.057901375982737036,0.34254827907882585,0.9002484134731316,0.14052066419058265,0.441407101647084
2016-06,monthly,6187,1203,0.15368328953596946,0.19443995474381767,-0.04075666520784821,0.17443226734896972,0.8674173194303548,0.1276307944446625,0.41063360954132616
2016-07,monthly,5575,893,0.16602092947412278,0.1601793721973094,0.005841557276813375,0.27598290740071585,1.2764937550085815,0.09303171961994458,0.3122228438053427
2016-08,monthly,5616,826,0.15289853841833484,0.14707977207977208,0.005818766338562764,0.2706723452758229,1.2570162328385113,0.08757056227204632,0.2975980857143379
2016-09,monthly,4455,647,0.1599267178891015,0.14523007856341189,0.014696639325689625,0.1917106163080099,1.2806986364544748,0.08738796414520965,0.295509104600573
2016-10,monthly,5009,678,0.15100067653285823,0.1353563585546017,0.015644317978256522,0.1272510057403722,1.229870425143971,0.08484797225639824,0.289727292469684
2016-11,monthly,4929,697,0.14977216293961942,0.14140799350781091,0.00836416943180851,0.2627938762933686,1.2682965533695787,0.08655833441474904,0.295222986390095
2016-12,monthly,5047,726,0.16038885633394312,0.14384783039429364,0.016541025939649484,0.12199291905989518,1.2425403390521488,0.08713400985482322,0.29645936024635433
OOT,annual,44221,5892,0.15145175596075336,0.13323986341331043,0.01821189254744293,0.11462162626752728,1.2507071775766894,0.08362492875360526,0.2843152586611653
2017Q1,quarterly,12280,1577,0.146813843303404,0.12842019543973943,0.01839364786366457,0.09837200691118032,1.2335869597896294,0.08256282864511073,0.2823634213711027
2017Q2,quarterly,11548,1558,0.14954757609076672,0.1349151368202286,0.014632439270538117,0.13202924102590308,1.2240166601964688,0.0865824708540717,0.29230522376455037
2017Q3,quarterly,11480,1667,0.16084460343957527,0.14520905923344948,0.015635544206125784,0.1681710608563731,1.283510401213294,0.08644202441785633,0.2916319284341606
2017Q4,quarterly,8913,1090,0.1482107762136402,0.1222932794794121,0.025917496734228107,0.02828804765234222,1.2631310430189897,0.07762791707746082,0.26722842773040034
2017-01,monthly,4267,546,0.14796295552018662,0.1279587532224045,0.02000420229778213,0.15413224213015853,1.2947068852686867,0.08091358821498813,0.2775139354051959
2017-02,monthly,3516,449,0.14646671005445572,0.1277019340159272,0.018764776038528524,0.08381308102403626,1.2244418931027765,0.08288289050934593,0.2830896322645678
2017-03,monthly,4497,582,0.14599491038685755,0.12941961307538358,0.016575297311473974,0.05925728781749414,1.185635051126737,0.08387747649938744,0.2863970880633644
2017-04,monthly,3296,444,0.14679080193494015,0.13470873786407767,0.012082064070862486,0.139227978939194,1.2046552454107617,0.08729723444771009,0.29375787928800723
2017-05,monthly,4319,595,0.1519442702025823,0.13776337115072934,0.014180899051852963,0.08555216419338489,1.1809263873313705,0.0897199151802827,0.3023796713139377
2017-06,monthly,3933,519,0.149225940125517,0.13196033562166284,0.017265604503854143,0.17870780839414774,1.2908526164261678,0.08253810704793452,0.2800246512826999
2017-07,monthly,3963,605,0.16126476766835318,0.15266212465304063,0.00860264301531255,0.2523718663909676,1.2901449512865504,0.08854210706582552,0.29712988820405173
2017-08,monthly,4026,520,0.14938607774736826,0.12916045702930948,0.02022562071805878,0.12831883435293023,1.277925119721385,0.08237564498261864,0.28014256197196824
2017-09,monthly,3491,542,0.17358218968941166,0.15525637353193927,0.01832581615747239,0.11871348403477872,1.2836358672741268,0.08874755752366123,0.2986407439050022
2017-10,monthly,3115,395,0.15274417797953582,0.12680577849117175,0.025938399488364072,0.12387662133169104,1.3585283041585752,0.0766330677108799,0.26346692492009505
2017-11,monthly,3152,375,0.14250808259378667,0.11897208121827411,0.023536001375512552,-0.04665291831291857,1.1706493377483373,0.07887372118459907,0.2716029376628865
2017-12,monthly,2646,320,0.14966706638333538,0.12093726379440665,0.028729802588928724,0.0018591773874611622,1.2698844402553675,0.0773150603999097,0.2664455955107875
