metric_id,frequency,window_id,window_order,status,sample_eligible,persistence_key
CALIBRATION_GAP,annual,OOT,1,GREEN,True,CALIBRATION_GAP|LANE_A|annual
CALIBRATION_GAP,monthly,2017-01,1,AMBER,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-02,2,GREEN,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-03,3,GREEN,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-04,4,GREEN,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-05,5,GREEN,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-06,6,GREEN,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-07,7,GREEN,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-08,8,AMBER,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-09,9,GREEN,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-10,10,AMBER,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-11,11,AMBER,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,monthly,2017-12,12,AMBER,True,CALIBRATION_GAP|LANE_A|monthly
CALIBRATION_GAP,quarterly,2017Q1,1,GREEN,True,CALIBRATION_GAP|LANE_A|quarterly
CALIBRATION_GAP,quarterly,2017Q2,2,GREEN,True,CALIBRATION_GAP|LANE_A|quarterly
CALIBRATION_GAP,quarterly,2017Q3,3,GREEN,True,CALIBRATION_GAP|LANE_A|quarterly
CALIBRATION_GAP,quarterly,2017Q4,4,AMBER,True,CALIBRATION_GAP|LANE_A|quarterly
CALIBRATION_SLOPE,annual,OOT,1,AMBER,True,CALIBRATION_SLOPE|LANE_A|annual
CALIBRATION_SLOPE,monthly,2017-01,1,AMBER,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-02,2,GREEN,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-03,3,GREEN,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-04,4,GREEN,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-05,5,GREEN,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-06,6,AMBER,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-07,7,AMBER,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-08,8,AMBER,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-09,9,AMBER,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-10,10,RED,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-11,11,GREEN,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,monthly,2017-12,12,AMBER,True,CALIBRATION_SLOPE|LANE_A|monthly
CALIBRATION_SLOPE,quarterly,2017Q1,1,GREEN,True,CALIBRATION_SLOPE|LANE_A|quarterly
CALIBRATION_SLOPE,quarterly,2017Q2,2,GREEN,True,CALIBRATION_SLOPE|LANE_A|quarterly
CALIBRATION_SLOPE,quarterly,2017Q3,3,AMBER,True,CALIBRATION_SLOPE|LANE_A|quarterly
CALIBRATION_SLOPE,quarterly,2017Q4,4,AMBER,True,CALIBRATION_SLOPE|LANE_A|quarterly
