window_id,frequency,account_count,bad_count,good_count,roc_auc,gini,ks,pr_auc,brier,logloss,bad_rate,mean_prediction,minimum_sample_pass
Validation,annual,83664,14190,69474,0.8219631903097561,0.6439263806195121,0.49140525048353373,0.5318745066822751,0.10726820291754496,0.35024972532540705,0.16960699942627652,0.1528836891421002,True
2016Q1,quarterly,34297,5857,28440,0.8217911861868676,0.6435823723737353,0.49073287832583756,0.514951737087875,0.11003265148715217,0.3558654003248909,0.1707729539026737,0.1481534214509931,True
2016Q2,quarterly,18736,3866,14870,0.7931755156171559,0.5863510312343119,0.4427965283535076,0.5182362084134234,0.13394111415834872,0.4252296445900533,0.2063407344150299,0.15525473597931946,True
2016Q3,quarterly,15646,2366,13280,0.8547996402346494,0.7095992804692988,0.5594637001089735,0.5911110035816748,0.08946449538974256,0.30221438480008056,0.15122075929950146,0.15957550823031766,True
2016Q4,quarterly,14985,2101,12884,0.8490216808098803,0.6980433616197605,0.5504082043692031,0.5659747728925465,0.08618050524523788,0.2938023689730248,0.14020687354020686,0.1537585544077332,True
2016-01,monthly,8762,1384,7378,0.8289148961840936,0.6578297923681873,0.5065103330162943,0.5373261285038863,0.09968630029682601,0.3300522576395484,0.15795480483907784,0.14088546243635325,True
2016-02,monthly,10627,1709,8918,0.8238284684947611,0.6476569369895222,0.49479150195048016,0.5133990148145549,0.1041210554661865,0.3403418236405757,0.1608167874282488,0.1445365279302662,True
2016-03,monthly,14908,2764,12144,0.8148007496629925,0.6296014993259851,0.48385700584781943,0.5054153049662075,0.12032761124328582,0.3821025753740718,0.1854038100348806,0.1550033399062547,True
2016-04,monthly,7205,1513,5692,0.7981754752324547,0.5963509504649094,0.4530301686159632,0.5357816058112937,0.13447974465055115,0.42576445907078925,0.20999306037473978,0.15509218240128142,True
2016-05,monthly,5344,1150,4194,0.789534739068234,0.579069478136468,0.44401567456615043,0.5134007546246234,0.14052066419058265,0.441407101647084,0.21519461077844312,0.1572932347957061,True
2016-06,monthly,6187,1203,4984,0.7896135463908447,0.5792270927816894,0.44335256027934444,0.5046864001022587,0.1276307944446625,0.41063360954132616,0.19443995474381767,0.15368328953596946,True
2016-07,monthly,5575,893,4682,0.8553249848242991,0.7106499696485982,0.5644439905420344,0.6019037006248904,0.09303171961994458,0.3122228438053427,0.1601793721973094,0.16602092947412278,True
2016-08,monthly,5616,826,4790,0.852002001749003,0.704004003498006,0.5533622811850758,0.5902263470345501,0.08757056227204632,0.2975980857143379,0.14707977207977208,0.15289853841833484,True
2016-09,monthly,4455,647,3808,0.8573137330666423,0.7146274661332845,0.567035314898757,0.5808883821865305,0.08738796414520965,0.295509104600573,0.14523007856341189,0.1599267178891015,True
2016-10,monthly,5009,678,4331,0.847752601979691,0.6955052039593821,0.5502782641980808,0.551196338565082,0.08484797225639824,0.289727292469684,0.1353563585546017,0.15100067653285823,True
2016-11,monthly,4929,697,4232,0.8460669273933926,0.6921338547867852,0.5508389994385877,0.5771893042104226,0.08655833441474904,0.295222986390095,0.14140799350781091,0.14977216293961942,True
2016-12,monthly,5047,726,4321,0.8531022496960515,0.7062044993921031,0.5650583383221031,0.5725940715015833,0.08713400985482322,0.29645936024635433,0.14384783039429364,0.16038885633394312,True
OOT,annual,44221,5892,38329,0.8557777504539299,0.7115555009078598,0.5625094217238796,0.5489091154627448,0.08362492875360526,0.2843152586611653,0.13323986341331043,0.15145175596075336,True
2017Q1,quarterly,12280,1577,10703,0.848359384123037,0.696718768246074,0.5462522404808778,0.5341238727818279,0.08256282864511073,0.2823634213711027,0.12842019543973943,0.146813843303404,True
2017Q2,quarterly,11548,1558,9990,0.8469118669375408,0.6938237338750817,0.5473828128513623,0.5300974219785906,0.0865824708540717,0.29230522376455037,0.1349151368202286,0.14954757609076672,True
2017Q3,quarterly,11480,1667,9813,0.8650898985595727,0.7301797971191455,0.5877056933461978,0.5906042099062433,0.08644202441785633,0.2916319284341606,0.14520905923344948,0.16084460343957527,True
2017Q4,quarterly,8913,1090,7823,0.8640453285829718,0.7280906571659436,0.579275413477314,0.5367005623286705,0.07762791707746082,0.26722842773040034,0.1222932794794121,0.1482107762136402,True
2017-01,monthly,4267,546,3721,0.856530551773766,0.713061103547532,0.5689877174693085,0.5544956266831496,0.08091358821498813,0.2775139354051959,0.1279587532224045,0.14796295552018662,True
2017-02,monthly,3516,449,3067,0.8459795088603956,0.6919590177207913,0.5438452148490687,0.5265783106154456,0.08288289050934593,0.2830896322645678,0.1277019340159272,0.14646671005445572,True
2017-03,monthly,4497,582,3915,0.8426867322352568,0.6853734644705136,0.5349304156627299,0.5225453023417889,0.08387747649938744,0.2863970880633644,0.12941961307538358,0.14599491038685755,True
2017-04,monthly,3296,444,2852,0.8457878460508194,0.6915756921016387,0.5486840276461594,0.5142572436663558,0.08729723444771009,0.29375787928800723,0.13470873786407767,0.14679080193494015,True
2017-05,monthly,4319,595,3724,0.8360428381879068,0.6720856763758136,0.5287483414418399,0.5118844594433584,0.0897199151802827,0.3023796713139377,0.13776337115072934,0.1519442702025823,True
2017-06,monthly,3933,519,3414,0.8597179470682319,0.7194358941364638,0.5787457968040473,0.5646657036443274,0.08253810704793452,0.2800246512826999,0.13196033562166284,0.149225940125517,True
2017-07,monthly,3963,605,3358,0.867113935390507,0.7342278707810139,0.592556076767458,0.612726658035292,0.08854210706582552,0.29712988820405173,0.15266212465304063,0.16126476766835318,True
2017-08,monthly,4026,520,3506,0.8579725964281013,0.7159451928562026,0.5741541972004037,0.5327354199336841,0.08237564498261864,0.28014256197196824,0.12916045702930948,0.14938607774736826,True
2017-09,monthly,3491,542,2949,0.8693853316966536,0.7387706633933071,0.5973486540562252,0.6203585801288054,0.08874755752366123,0.2986407439050022,0.15525637353193927,0.17358218968941166,True
2017-10,monthly,3115,395,2720,0.8787360387192853,0.7574720774385706,0.6000279225614297,0.5842424405341465,0.0766330677108799,0.26346692492009505,0.12680577849117175,0.15274417797953582,True
2017-11,monthly,3152,375,2777,0.8481027487696554,0.6962054975393108,0.5666546633057257,0.4961966931765297,0.07887372118459907,0.2716029376628865,0.11897208121827411,0.14250808259378667,True
2017-12,monthly,2646,320,2326,0.8656384350816855,0.731276870163371,0.6094475494411006,0.5274917677830009,0.0773150603999097,0.2664455955107875,0.12093726379440665,0.14966706638333538,True
