model,mean_mae,mean_weighted_mae,mean_bias,folds,relative_mae_improvement_vs_b2,relative_weighted_mae_improvement_vs_b2
B0_GLOBAL_MEAN,0.17437647701130077,0.17617488868081413,-0.08615208377604765,3,-0.08000854367552503,-0.1278340543368809
B1_EXPOSURE_WEIGHTED_MEAN,0.16630754461863784,0.16687123671178652,-0.06895772031649833,3,-0.030033248430562588,-0.0682740591585759
B2_RISK_DECILE_TERM_BASELINE,0.16145842366936866,0.1562063922465948,-0.0922113235080469,3,0.0,0.0
CATBOOST_REGRESSOR,0.14137026540627787,0.1334406371779391,-0.05821672494641095,3,0.12441691059877386,0.14574150738157113
HUBER_REGRESSOR,0.1451975919057056,0.13790076270628288,-0.0672172089630207,3,0.10071219199415485,0.11718873521778668
TWEEDIE_REGRESSOR,0.15294835542262164,0.1459816834549454,-0.08091859275926078,3,0.05270748997385091,0.06545640446972364
