model,segment_dimension,segment,n,mean_observed_lgd,mean_predicted_lgd,mean_bias,mae
HUBER_REGRESSOR,issue_year,2017,5892,0.7838672920934364,0.6678373071505777,-0.11602998494285878,0.1340953128348963
TWEEDIE_REGRESSOR,risk_decile,1,264,0.5252784492878512,0.4773348871227684,-0.047943562165082665,0.18304123797610738
TWEEDIE_REGRESSOR,risk_decile,2,523,0.5225268020389001,0.4814112885923905,-0.04111551344650972,0.1871363063480395
TWEEDIE_REGRESSOR,risk_decile,3,853,0.5310267008061312,0.4895780908838616,-0.041448609922269584,0.18033115662776175
TWEEDIE_REGRESSOR,risk_decile,4,1137,0.5513095119224398,0.4993099012173527,-0.05199961070508715,0.18394418635488474
TWEEDIE_REGRESSOR,risk_decile,5,1573,0.5482608653260796,0.5085565791400193,-0.03970428618606033,0.1792461876937069
TWEEDIE_REGRESSOR,risk_decile,6,2095,0.579237720298245,0.5185628029289286,-0.06067491736931629,0.17790984297012943
TWEEDIE_REGRESSOR,risk_decile,7,3210,0.5871673285821973,0.5327857225045988,-0.05438160607759863,0.17835354529724173
TWEEDIE_REGRESSOR,risk_decile,8,4739,0.6193265329129004,0.5549178590115974,-0.06440867390130306,0.17102949479148544
TWEEDIE_REGRESSOR,risk_decile,9,8305,0.6604972161206721,0.5891996983247915,-0.07129751779588071,0.16055544429572174
TWEEDIE_REGRESSOR,risk_decile,10,16172,0.7325193600182266,0.6596502989566791,-0.07286906106154731,0.13403538018826264
TWEEDIE_REGRESSOR,term, 36 months,20169,0.5892478383399286,0.5377477591718088,-0.05150007916811977,0.17788126755401676
TWEEDIE_REGRESSOR,term, 60 months,18702,0.7397425658724489,0.6579403289562599,-0.0818022369161891,0.13154780611720177
TWEEDIE_REGRESSOR,purpose,car,264,0.6431544336180586,0.5751021452130473,-0.06805228840501126,0.1681945675684595
TWEEDIE_REGRESSOR,purpose,credit_card,6991,0.637349329344815,0.5728575951889222,-0.06449173415589288,0.15867740736215316
TWEEDIE_REGRESSOR,purpose,debt_consolidation,24399,0.6663953132177441,0.6026003563617593,-0.06379495685598494,0.15219997524413895
TWEEDIE_REGRESSOR,purpose,home_improvement,2237,0.6704090687710936,0.5917937310049506,-0.07861533776614303,0.15980538278123507
TWEEDIE_REGRESSOR,purpose,house,225,0.6720404793552821,0.6260104509704751,-0.046030028384806854,0.14718160793449397
TWEEDIE_REGRESSOR,purpose,major_purchase,812,0.6844785627469314,0.6013683391520024,-0.08311022359492887,0.1636015234752113
