dimension,segment,accounts,good_accounts,bad_accounts,bad_rate,account_share,loan_amount,loan_amount_share,bad_associated_loan_amount,bad_associated_share,relative_bad_rate,primary_segment,materiality_flag,materiality_rule,materiality_rank,descriptive_concentration_index
loan_amount_band,Q2 (>25th–50th percentile),348870,283231,65639,0.18814744747327083,0.25886689802705537,3523813100.0,0.18147429287445457,668270000.0,0.03441551020376528,0.9417406941464039,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.17090172654131666
addr_state,CA,196805,158172,38633,0.1963009069891517,0.14603233257721968,2886747675.0,0.14866579984835201,606112900.0,0.03121445627453539,0.9825514770047316,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.14607180122108807
dti_band,<10,245174,208786,36388,0.14841704259016045,0.18192287343963445,3311464900.0,0.17053848602415278,546061700.0,0.028121854951195496,0.742876773451155,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.1266890802468675
fico_band,720–759,201591,175564,26027,0.12910794628728464,0.14958361808172704,3183004200.0,0.1639228358653355,448764450.0,0.023111104056836477,0.6462283097073492,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.105931577143691
emp_length,2 years,122091,97894,24197,0.1981882366431596,0.09059339710213322,1678195875.0,0.08642609612877923,364038300.0,0.01874775738580419,0.9919981910703103,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.08573453102101775
addr_state,TX,110307,88426,21881,0.198364564352217,0.08184948812070512,1674091450.0,0.08621472066606493,361190800.0,0.01860111281803185,0.9928807700335384,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.08560093824314896
loan_amount_band,Q1 (≤25th percentile),337154,282960,54194,0.1607396026741489,0.25017344608998715,1666590775.0,0.08582844033476526,272384275.0,0.014027629245077151,0.8045552944356328,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.0690537260844882
emp_length,5 years,84326,67781,16545,0.19620283186680265,0.06257118709843057,1192750625.0,0.06142595254198889,257086625.0,0.013239809307524022,0.9820605783237244,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.060324006477471256
purpose,home_improvement,87684,72114,15570,0.17756945394826879,0.06506287467137994,1239111700.0,0.06381352051559241,248674175.0,0.012806573102376902,0.8887943103463962,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.05671709395743157
emp_length,4 years,80761,64805,15956,0.19757060957640446,0.05992590234632676,1130956625.0,0.05824359804824913,243594850.0,0.012544990865607722,0.9889067617132778,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.05759748793642384
emp_length,8 years,60808,48676,12132,0.19951322194448098,0.04512046990348606,894778825.0,0.046080580875844504,194805825.0,0.010032384901372818,0.9986301841914366,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.046017458967692985
emp_length,6 years,62877,50694,12183,0.19375924423875185,0.046655699679671966,900680350.0,0.04638450592687968,190677250.0,0.009819765727925693,0.9698296076677178,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.04498506718492665
emp_length,7 years,59724,48072,11652,0.19509744826200523,0.04431612525516053,868369450.0,0.04472051366530451,182902200.0,0.00941935524621952,0.9765277648986161,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.04367082325469783
emp_length,9 years,51019,40861,10158,0.19910229522334816,0.037856881561734564,756414275.0,0.038954888292959754,162985825.0,0.008393673699786915,0.9965733589684533,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.03882140387435578
addr_state,IL,51858,42464,9394,0.18114852096108605,0.038479432447292794,762927425.0,0.039290311670163065,148775250.0,0.007661837482518638,0.906708733838779,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.035624868746584555
addr_state,GA,43470,35459,8011,0.18428801472279732,0.03225540762242697,633945675.0,0.03264782774416833,127370250.0,0.006559492628026299,0.9224229466762522,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.03011510547035445
addr_state,VA,38107,30505,7602,0.19949090718240745,0.028275979256218647,583149550.0,0.030031857315675,123926625.0,0.006382147974928836,0.9985184913685624,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.029987364859843723
addr_state,AZ,32733,26301,6432,0.19649894601778023,0.02428838872106975,454925125.0,0.023428375179772688,97032150.0,0.004997098400973085,0.9835427283599497,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.023042808045354156
fico_band,760–799,61539,56124,5415,0.08799298006142446,0.045662883130355034,921663325.0,0.047465116743193224,96483050.0,0.0049688200753668366,0.44043419794376426,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.020905260623095445
addr_state,MA,31066,25140,5926,0.19075516641988025,0.02305144911889386,474664225.0,0.02444492716843467,94590750.0,0.004871367743287609,0.9547931967654871,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.023339850155849245
purpose,major_purchase,29543,24047,5496,0.18603391666384592,0.021921359728303655,349124950.0,0.017979728671216787,82536600.0,0.004250586139560497,0.9311617678930972,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.01674203593572843
addr_state,MN,24001,19259,4742,0.19757510103745676,0.017809110612971468,335233100.0,0.017264306603154214,72398300.0,0.003728469678999895,0.9889292429730873,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.017073177659512568
addr_state,WA,29218,24605,4613,0.157882127455678,0.021680204736877644,431431450.0,0.022218464796714278,71740675.0,0.0036946023800073454,0.7902526784188451,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.01755820131595828
addr_state,CO,29722,25104,4618,0.15537312428504138,0.02205418047742752,434949225.0,0.02239962813100588,71628825.0,0.003688842171085366,0.7776942811657197,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.017420062697722054
addr_state,CT,19787,16347,3440,0.1738515186738768,0.014682257893373877,288305050.0,0.014847539752004518,55932050.0,0.002880467531824726,0.8701848049126607,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.012920103482531026
addr_state,WI,17782,14515,3267,0.18372511528511978,0.013194517100114938,244580150.0,0.012595733233518551,48076925.0,0.002475933234924743,0.9196054473463803,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.011583104894865496
addr_state,SC,16004,13398,2606,0.1628342914271432,0.01187521379317509,226860350.0,0.011683174001907557,41051850.0,0.0021141460226531818,0.8150399099154455,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.00952225308604121
addr_state,OR,16415,14049,2366,0.14413646055437102,0.012180182105409217,222096500.0,0.011437838541264093,32725575.0,0.0016853477790961526,0.7214510334165597,True,False,relative_bad_rate > 1.0 AND account_share >= 0.001 (0.1%),,0.008251840435646736
